Title,Description,VideoURL,ThumbnailURL,SubmitterName,Status,Category,VoteCount,SubmittedAt
Behind-the-Back Trick Shot,"Nailed an insane behind-the-back trick shot from the dugout steps. First try, no cuts. Even Eric couldn't believe it.",https://youtube.com/watch?v=example1,,BaseballKid2025,featured,trick_shot,2847,2026-03-15
500ft Home Run Derby,"Set up a home run derby in my backyard with a pitching machine cranked to max. Three balls cleared the neighbor's fence.",https://youtube.com/watch?v=example2,,PowerHitter99,approved,hitting,1923,2026-03-14
No-Look Double Play,"Turned a no-look double play at second base during our rec league game. The shortstop had no idea what happened.",https://youtube.com/watch?v=example3,,GloveWizard,approved,fielding,1456,2026-03-13
Knuckleball Challenge,"Tried to throw 10 knuckleballs in a row for strikes. Only got 3 but the movement was absolutely filthy.",https://youtube.com/watch?v=example4,,PitchLab,approved,pitching,1102,2026-03-12
One-Handed Catch Compilation,"A full month of one-handed catches during practice. The diving one at the 2-minute mark is insane.",https://youtube.com/watch?v=example5,,DiamondDave,approved,fielding,987,2026-03-11
Speed Training Montage,"My 6-month speed transformation. Went from 7.2 to 6.8 sixty-yard dash. Full workout breakdown included.",https://youtube.com/watch?v=example6,,FastFeet42,approved,workout,764,2026-03-10
Opposite Field Power,"Hit 5 opposite field bombs in a row during cage work. Coach said it was the best session he'd ever seen.",https://youtube.com/watch?v=example7,,JucoFan99,approved,hitting,621,2026-03-09
Dugout Flip Challenge,"Recreated Eric's famous bat flip from the dugout. Added a spin move. Crowd went crazy at our high school game.",https://youtube.com/watch?v=example8,,BatFlipKing,approved,trick_shot,543,2026-03-08
Blindfolded Batting Tee,"Tried hitting off a tee blindfolded. The first 5 swings were terrible but then I got a rhythm going. Hilarious results.",https://youtube.com/watch?v=example9,,MusicMan,pending,trick_shot,0,2026-03-22
Wall Ball Drill Speed Run,"Timed wall ball drill — 100 throws and catches in under 3 minutes. Hands were on fire after.",https://youtube.com/watch?v=example10,,FuturePro15,pending,fielding,0,2026-03-21
